Year,Player,Regular Season ERA,Regular Season Win/Loss,Post-season ERA,Post-season Win/Loss
1884,radboch01,0.0,0.83,1.38,1.0
1884,keefeti01,3.6,0.69,2.25,0.0
1884,becanbu01,10.5,1.0,1.5,0.0
1885,mccorji01,2.0,0.75,2.43,0.6
1885,clarkjo01,1.13,0.77,1.85,0.0
1885,carutbo01,2.42,0.75,2.07,0.5
1885,foutzda01,0.62,0.7,2.63,0.5
1886,willine01,4.5,,0.0,0.0
1886,foutzda01,3.6,0.72,2.11,0.5
1886,carutbo01,2.42,0.68,2.32,0.67
1886,clarkjo01,2.03,0.68,2.41,0.5
1886,mccorji01,6.75,0.74,2.82,0.0
1886,hudsona01,2.57,0.62,3.03,1.0
1887,conwape01,3.0,0.47,2.9,0.5
1887,carutbo01,2.15,0.76,3.3,0.5
1887,baldwla01,1.5,0.57,3.84,0.8
1887,getzich01,2.48,0.69,3.73,0.67
1887,kingsi01,2.03,0.73,3.78,0.25
1887,foutzda01,3.46,0.68,3.87,0.0
1888,chambel01,5.32,0.69,2.07,0.4
1888,keefeti01,0.51,0.74,1.74,1.0
1888,kingsi01,2.31,0.68,1.64,0.25
1888,welchmi01,2.65,0.58,1.93,0.5
1888,titcoca01,6.75,0.64,2.24,0.0
1888,craneed01,2.12,0.45,2.43,0.5
1888,georgbi01,7.2,0.67,1.34,0.0
1888,devliji02,2.57,0.55,3.19,1.0
1889,odayha01,1.17,0.5,4.3,1.0
1889,welchmi01,9.0,0.69,3.02,0.0
1889,carutbo01,3.75,0.78,3.13,0.0
1889,keefeti01,8.18,0.68,3.31,0.0
1889,terryad01,6.08,0.59,3.29,0.4
1889,craneed01,3.79,0.58,3.68,0.8
1889,hughemi01,7.71,0.53,4.35,1.0
1889,lovetto01,24.0,0.63,4.32,0.0
1890,dailyed01,2.65,0.5,2.75,0.0
1890,stratsc01,2.37,0.71,2.36,0.5
1890,ehretre01,1.35,0.64,2.53,1.0
1890,lovetto01,2.83,0.73,2.78,0.5
1890,terryad01,3.6,0.62,2.94,0.5
1892,clarkjo01,5.29,0.61,2.45,0.0
1892,youngcy01,3.0,0.75,1.93,0.0
1892,cuppyni01,1.13,0.68,2.51,0.0
1892,nichoki01,1.0,0.69,2.84,1.0
1892,stiveja01,0.93,0.69,3.03,1.0
