Team ID,Year,Rank,At Bats
RC1,1871,1,1036
PH1,1871,9,1281
WS4,1872,1,460
BS1,1872,11,2137
BL4,1873,1,211
BS1,1873,9,2755
BL1,1874,1,1781
BS1,1874,8,3122
BR2,1875,1,1547
BS1,1875,13,3516
CN1,1876,1,2372
CHN,1876,8,2748
CN1,1877,1,2135
BSN,1877,6,2368
ML2,1878,1,2212
BSN,1878,6,2220
TRN,1879,1,2841
PRO,1879,8,3392
CN1,1880,1,2895
CHN,1880,8,3135
WOR,1881,1,3093
CHN,1881,8,3114
WOR,1882,1,2984
CN2,1882,14,3007
PHI,1883,1,3576
PH4,1883,16,3714
WIL,1884,1,521
SLU,1884,33,4285
SL5,1885,1,3758
CHN,1885,16,4093
WS8,1886,1,4082
CHN,1886,16,4378
IN3,1887,1,4368
SL4,1887,16,5048
KC2,1888,1,4588
SL4,1888,16,4755
LS2,1889,1,4955
BR3,1889,16,4815
PIT,1890,1,4739
LS2,1890,24,4687
BRO,1890,24,4419
WS9,1891,1,4715
BS2,1891,17,4889
BLN,1892,1,5296
BSN,1892,12,5301
WAS,1893,1,4742
BSN,1893,12,4678
LS3,1894,1,4482
BLN,1894,12,4799
LS3,1895,1,4724
BLN,1895,12,4725
LS3,1896,1,4588
BLN,1896,12,4719
SLN,1897,1,4642
BSN,1897,12,4937
SLN,1898,1,5214
BSN,1898,12,5276
CL4,1899,1,5279
BRO,1899,12,4937
NY1,1900,1,4724
BRO,1900,8,4860
MLA,1901,1,4795
PIT,1901,16,4913
NY1,1902,1,4571
PIT,1902,16,4926
SLN,1903,1,4689
WS1,1903,1,4613
BOS,1903,16,4919
WS1,1904,1,5149
NY1,1904,16,5150
BRO,1905,1,5100
NY1,1905,16,5094
BOS,1906,1,5168
CHN,1906,16,5018
WS1,1907,1,5112
CHN,1907,16,4892
SLN,1908,1,4959
CHN,1908,16,5085
WS1,1909,1,4983
PIT,1909,16,5129
SLA,1910,1,5077
PHA,1910,16,5156
BSN,1911,1,5308
PHA,1911,16,5199
NYA,1912,1,5092
BOS,1912,16,5071
SLN,1913,1,4967
NY1,1913,16,5218
CLE,1914,1,5157
PHA,1914,24,5126
PHA,1915,1,5081
BOS,1915,24,5024
PHA,1916,1,5010
BRO,1916,16,5234
PIT,1917,1,5169
CHA,1917,16,5057
SLN,1918,1,4369
CHN,1918,16,4325
PHA,1919,1,4730
CIN,1919,16,4577
PHA,1920,1,5256
CLE,1920,16,5203
PHI,1921,1,5329
NYA,1921,16,5249
BSN,1922,1,5161
NYA,1922,16,5245
PHI,1923,1,5491
NYA,1923,16,5347
BSN,1924,1,5283
NY1,1924,16,5445
BOS,1925,1,5166
WS1,1925,16,5206
BOS,1926,1,5185
NYA,1926,16,5221
BOS,1927,1,5207
PHI,1927,1,5317
NYA,1927,16,5347
PHI,1928,1,5234
NYA,1928,16,5337
BSN,1929,1,5291
PHA,1929,16,5204
BOS,1930,1,5286
PHI,1930,1,5667
PHA,1930,16,5345
CHA,1931,1,5481
PHA,1931,16,5377
BOS,1932,1,5295
NYA,1932,16,5477
SLA,1933,1,5285
